mes,prec,ETP,P - ETP,ARM,Neg,Alt,Etr,Def,Exc
1,275.29153846153844,115.61406423483638,159.67747422670206,100.0,0.0,0.0,115.61406423483638,0.0,159.67747422670206
2,179.88115835149495,118.87648016956251,61.004678181932434,100.0,0.0,0.0,118.87648016956251,0.0,61.004678181932434
3,171.86983228831747,130.64842616036395,41.221406127953514,100.0,0.0,0.0,130.64842616036395,0.0,41.221406127953514
4,96.9269852078329,102.04008702825467,-5.113101820421775,95.01541748832835,-5.113101820421775,-4.984582511671647,101.91156771950455,0.1285193087501284,0.0
5,49.33907050624609,67.75261859284949,-18.4135480866034,79.0360191303712,-23.526649907025174,-15.979398357957152,65.31846886420324,2.434149728646247,0.0
6,32.09301501505095,56.9697120194834,-24.87669700443245,61.62925748003075,-48.403346911457625,-17.40676165034045,49.4997766653914,7.4699353540920015,0.0
7,21.61450031217887,60.72436702216858,-39.10986670998971,41.680694074831116,-87.51321362144733,-19.948563405199636,41.563063717378505,19.161303304790074,0.0
8,18.10325210883686,78.44273977211112,-60.33948766327427,22.797324284732763,-147.8527012847216,-18.883369790098353,36.98662189893521,41.45611787317591,0.0
9,73.97598661037483,97.25680309348974,-23.280816483114904,18.06244657909867,-171.1335177678365,-4.734877705634094,78.71086431600892,18.545938777480814,0.0
10,115.87324220369773,129.05242225620935,-13.179180052511626,15.832158312627673,-184.31269782034815,-2.230288266470996,118.10353047016872,10.948891786040633,0.0
11,151.00981038275955,128.827288810941,22.18252157181854,38.01467988444621,-96.71977881126791,22.182521571818537,128.827288810941,0.0,0.0
12,184.59720971312893,88.21186996906397,96.38533974406496,100.0,0.0,61.98532011555379,88.21186996906397,0.0,34.400019628511174
